time,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
2021-01-29 00:00:00,318.6211,317.4642,317.0557,316.6998,317.6586,313.6611,316.8598,317.2829,318.2327,317.5201
2021-01-29 00:02:00,318.6637,317.4277,317.1191,316.8307,317.6519,312.6875,317.0413,317.4777,318.261,317.6421
2021-01-29 00:04:00,318.6686,317.6449,317.2577,316.9384,317.7565,313.8226,317.2011,317.5177,318.3489,317.6805
2021-01-29 00:06:00,318.6955,317.6498,317.3395,317.0031,317.9903,313.2135,317.2527,317.6176,318.3224,317.7623
2021-01-29 00:08:00,318.7246,317.93,317.4613,317.1373,318.045,314.0089,317.261,317.7558,318.4022,317.8174
2021-01-29 00:10:00,318.5792,317.8438,317.4964,317.0727,317.632,314.2786,317.4508,317.7575,318.3988,317.5819
2021-01-29 00:12:00,318.6064,317.7858,317.5749,317.1241,318.1512,313.7061,317.4009,317.7575,318.3739,317.779
2021-01-29 00:14:00,318.6678,317.8273,317.4998,317.2716,318.0898,313.1868,317.2593,317.7575,318.3939,317.759
2021-01-29 00:16:00,318.7156,317.8439,317.5365,317.2103,318.0003,314.227,317.4043,317.8374,318.4403,317.8592
2021-01-29 00:18:00,318.752,318.0313,317.6016,317.3627,318.1412,313.766,317.4209,317.8374,318.4486,317.8408
2021-01-29 00:20:00,318.7629,318.0411,317.6784,317.3643,318.3055,314.222,317.4991,317.9574,318.5582,318.0045
2021-01-29 00:22:00,318.8223,318.0594,317.7736,317.4821,318.3469,315.084,317.6405,318.0173,318.5366,318.0429
2021-01-29 00:24:00,318.8002,318.1688,317.837,317.5351,318.4747,314.5182,317.6672,318.1605,318.6297,318.0429
2021-01-29 00:26:00,318.8512,318.1738,317.7986,317.6146,318.3884,314.3152,317.7622,318.1172,318.643,318.083
2021-01-29 00:28:00,318.8329,318.1655,317.9205,317.6693,318.5045,314.6647,317.7238,318.1971,318.613,318.1414
2021-01-29 00:30:00,318.8145,318.3115,317.9989,317.6675,318.468,315.1839,317.827,318.2388,318.6263,318.1047
2021-01-29 00:32:00,318.8666,318.2733,317.9422,317.6494,318.6073,314.7412,317.8304,318.2588,318.6047,318.1414
2021-01-29 00:34:00,318.8531,318.2019,317.9773,317.6991,318.6156,315.3236,317.8753,318.2538,318.6297,318.1431
